name,url,industry,social page,location,founded,size
Wansbroughs Solicitors,http://www.wansbroughs.com,Law Practice,https://www.linkedin.com/company/3486295,Devizes. England. United Kingdom,,51-200
Mullis & Peake LLP Solicitors,http://www.mplaw.co.uk,Law Practice,https://www.linkedin.com/company/2892044,Romford. England. United Kingdom,1902,51-200
Mincoffs Solicitors,http://www.mincoffs.co.uk,Law Practice,https://www.linkedin.com/company/1691786,Newcastle upon Tyne. England. United Kingdom,1948,51-200
CJCH Solicitors,http://www.cjchsolicitors.co.uk/,Law Practice,https://www.linkedin.com/company/10447472,Cardiff. Wales. United Kingdom,1983,51-200
Rayden Solicitors,http://www.raydensolicitors.co.uk,Law Practice,https://www.linkedin.com/company/1519189,St Albans. England. United Kingdom,,51-200
McHale & Co Solicitors,http://www.mchaleandco.co.uk,Law Practice,https://www.linkedin.com/company/648852,Altrincham. England. United Kingdom,2001,51-200
Streathers Solicitors LLP,http://www.streathers.co.uk,Law Practice,https://www.linkedin.com/company/10323212,South Marylebone. England. United Kingdom,1976,51-200
Tallents Solicitors,http://www.tallents.co.uk,Law Practice,https://www.linkedin.com/company/2620527,Newark-on-Trent. England. United Kingdom,1774,51-200
Clifton Ingram LLP Solicitors,http://www.cliftoningram.co.uk,Law Practice,https://www.linkedin.com/company/2047285,Wokingham. England. United Kingdom,,51-200
Miller Samuel Hill Brown Solicitors,http://www.mshblegal.com,Law Practice,https://www.linkedin.com/company/476259,Glasgow. Scotland. United Kingdom,1974,51-200
Humphries Kirk Solicitors,http://www.hklaw.uk,Law Practice,https://www.linkedin.com/company/1048381,Wareham. England. United Kingdom,,51-200
Gotelee Solicitors LLP,http://www.gotelee.co.uk,Law Practice,https://www.linkedin.com/company/574626,Ipswich. England. United Kingdom,1880,51-200
PDT Solicitors,http://www.pdt.co.uk,Law Practice,https://www.linkedin.com/company/341848,Horsham. England. United Kingdom,1990,51-200
Glaisyers ETL,http://www.glaisyers.com,Law Practice,https://www.linkedin.com/company/1243234,Manchester. England. United Kingdom,1974,51-200
Clough & Willis Solicitors,http://www.clough-willis.co.uk,Law Practice,https://www.linkedin.com/company/520572,Bury. England. United Kingdom,,51-200
Harrowells Limited,http://www.harrowells.co.uk,Law Practice,https://www.linkedin.com/company/1050986,York. England. United Kingdom,1908,51-200
Ellis Jones Solicitors LLP,http://www.ellisjones.co.uk,Law Practice,https://www.linkedin.com/company/799961,Bournemouth. England. United Kingdom,,51-200
Jones and Company Solicitors,https://www.jonessolicitors.co.uk/,Law Practice,https://www.linkedin.com/company/1074617,Retford. England. United Kingdom,1780,51-200
Spratt Endicott Solicitors,https://www.se-law.co.uk,Law Practice,https://www.linkedin.com/company/253039,Banbury. England. United Kingdom,2002,51-200
QualitySolicitors Davisons,http://www.qualitysolicitors.com/davisons,Law Practice,https://www.linkedin.com/company/2429953,Edgbaston. England. United Kingdom,1985,51-200
Hewitts Solicitors,http://www.hewitts.co.uk,Law Practice,https://www.linkedin.com/company/3712693,Bishop Auckland. England. United Kingdom,1955,51-200
Betesh Partnership Solicitors,http://www.bpslaw.co.uk,Law Practice,https://www.linkedin.com/company/1049073,Manchester. England. United Kingdom,1948,51-200
Lightfoots LLP Solicitors,http://www.lightfoots.co.uk,Law Practice,https://www.linkedin.com/company/1463094,Thame. England. United Kingdom,1860,51-200
Gorvins Solicitors,http://www.gorvins.com,Law Practice,https://www.linkedin.com/company/258716,Stockport. England. United Kingdom,1856,51-200
Bott and Co,https://www.bottonline.co.uk,Law Practice,https://www.linkedin.com/company/354412,Wilmslow. England. United Kingdom,2001,51-200
David Gray Solicitors LLP,http://www.davidgray.co.uk,Law Practice,https://www.linkedin.com/company/3189696,Newcastle upon Tyne. England. United Kingdom,1989,51-200
